co_id,year,quarter,流動資產,現金及約當現金,透過損益按公允價值衡量之金融資產－流動,備供出售金融資產－流動淨額,應收票據淨額,應收帳款淨額,應收帳款－關係人淨額,其他應收款－關係人淨額,本期所得稅資產,存貨,其他流動資產,流動資產合計,非流動資產,備供出售金融資產－非流動淨額,以成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,不動產、廠房及設備,無形資產,遞延所得稅資產,其他非流動資產,非流動資產合計,資產總計,流動負債,短期借款,透過損益按公允價值衡量之金融負債－流動,應付票據,應付帳款,應付帳款－關係人,其他應付款項－關係人,負債準備－流動,其他流動負債,流動負債合計,非流動負債,長期借款,遞延所得稅負債,其他非流動負債,非流動負債合計,負債總計,歸屬於母公司業主之權益,股本,普通股股本,股本合計,資本公積,資本公積合計,保留盈餘,保留盈餘合計,其他權益,其他權益合計,庫藏股票,歸屬於母公司業主之權益合計,非控制權益,權益總計,負債及權益總計,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,待分配股票股利,透過損益按公允價值衡量之金融資產－非流動,透過其他綜合損益按公允價值衡量之金融資產－非流動,資產總額,合約負債－流動,負債總額,權益總額,採用權益法之投資,使用權資產,租賃負債－流動,租賃負債－非流動,待註銷股本股數（單位：股）,待出售非流動資產（或處分群組）淨額,與待出售非流動資產直接相關（或處分群組）之負債,應付公司債,按攤銷後成本衡量之金融資產－流動
3231.0,2017.0,1.0,,52386866000.0,147011000.0,505176000.0,603000.0,64027174000.0,11690000.0,4949000.0,1205555000.0,73502775000.0,13906085000.0,205697884000.0,,2622157000.0,1507498000.0,5923519000.0,35902637000.0,1184322000.0,5094223000.0,3343355000.0,55577711000.0,261275595000.0,,49283478000.0,183883000.0,77844000.0,101866604000.0,861454000.0,29359000.0,2031396000.0,25210140000.0,179544158000.0,,11152447000.0,3745637000.0,1982578000.0,16880662000.0,196424820000.0,,,26503165000.0,26503165000.0,,21434222000.0,,21889126000.0,,-3287740000.0,-2449730000.0,64089043000.0,761732000.0,64850775000.0,261275595000.0,0.0,115175600000.0,,,,,,,,,,,,,,,,
3231.0,2017.0,2.0,,50122013000.0,242796000.0,939783000.0,64761000.0,82821817000.0,8406000.0,3140000.0,1250053000.0,71200032000.0,12546377000.0,219199178000.0,,2628486000.0,1631130000.0,5707172000.0,36231206000.0,1144938000.0,5914312000.0,2911860000.0,56169104000.0,275368282000.0,,51345571000.0,17148000.0,11751000.0,111988579000.0,845104000.0,4655000.0,1907787000.0,28376516000.0,194497111000.0,,11120423000.0,4051638000.0,1755895000.0,16927956000.0,211425067000.0,,,26738065000.0,27498607000.0,,21823439000.0,,18905256000.0,,-2765836000.0,-2378264000.0,63083202000.0,860013000.0,63943215000.0,275368282000.0,0.0,110807300000.0,760542000.0,,,,,,,,,,,,,,,
3231.0,2017.0,3.0,,59318428000.0,220221000.0,915551000.0,574213000.0,101594081000.0,27377000.0,2085000.0,1935507000.0,94332429000.0,16096998000.0,275016890000.0,,3023898000.0,1617230000.0,6002437000.0,36935984000.0,1088244000.0,5959901000.0,2959206000.0,57586900000.0,332603790000.0,,77000511000.0,107212000.0,9726000.0,141558492000.0,1022051000.0,11591000.0,2008057000.0,36257857000.0,257975497000.0,,3030683000.0,4051567000.0,1807946000.0,8890196000.0,266865693000.0,,,27498607000.0,27498607000.0,,22086069000.0,,19801019000.0,,-2753663000.0,-1970714000.0,64661318000.0,1076779000.0,65738097000.0,332603790000.0,0.0,90576000000.0,,,,,,,,,,,,,,,,
3231.0,2017.0,4.0,,65986117000.0,51475000.0,242666000.0,239988000.0,94360301000.0,51462000.0,10115000.0,1018582000.0,92240622000.0,16004334000.0,270205662000.0,,2634133000.0,1545840000.0,6120725000.0,36653350000.0,1057624000.0,4913434000.0,3522614000.0,56447720000.0,326653382000.0,,82594681000.0,222241000.0,13370000.0,132120400000.0,976766000.0,13326000.0,1940586000.0,36310304000.0,254191674000.0,,733316000.0,3456536000.0,1850794000.0,6040646000.0,260232320000.0,,,27486880000.0,27486880000.0,,22076225000.0,,21326529000.0,,-4010255000.0,-1753005000.0,65126374000.0,1294688000.0,66421062000.0,326653382000.0,0.0,80693900000.0,,,,,,,,,,,,,,,,
3231.0,2018.0,1.0,,49658081000.0,1639773000.0,0.0,209466000.0,88022670000.0,45924000.0,1633000.0,1052382000.0,94618538000.0,17433477000.0,252681944000.0,,0.0,0.0,6068776000.0,35781254000.0,1033601000.0,5007796000.0,4414984000.0,56370388000.0,,,87567893000.0,119556000.0,10046000.0,108239175000.0,824969000.0,8190000.0,0.0,37032171000.0,235873100000.0,,0.0,3478142000.0,2048076000.0,5526218000.0,,,,27486880000.0,27486880000.0,,22081464000.0,,22789714000.0,,-6024792000.0,-1459977000.0,64873289000.0,2779725000.0,,309052332000.0,0.0,67560400000.0,,516518000.0,3547459000.0,309052332000.0,2071100000.0,241399318000.0,67653014000.0,,,,,,,,,
3231.0,2018.0,2.0,,36458841000.0,1132775000.0,0.0,39360000.0,98419566000.0,63129000.0,2899000.0,1157275000.0,87866278000.0,18032745000.0,243172868000.0,,0.0,0.0,5797516000.0,38171018000.0,1002031000.0,5059730000.0,5954906000.0,59990142000.0,,,67062886000.0,29885000.0,16317000.0,105045854000.0,861338000.0,4345000.0,0.0,37097571000.0,211954959000.0,,16410100000.0,3496589000.0,2023531000.0,21930220000.0,,,,27788282000.0,28590332000.0,,22509624000.0,,19373623000.0,,-3552175000.0,-1016252000.0,65905152000.0,3372679000.0,,303163010000.0,0.0,48070100000.0,802050000.0,508783000.0,3496158000.0,303163010000.0,1836763000.0,233885179000.0,69277831000.0,,,,,,,,,
3231.0,2018.0,3.0,,43671986000.0,59286000.0,0.0,461084000.0,116361788000.0,49500000.0,1585000.0,1206002000.0,110403688000.0,19103628000.0,291318547000.0,,0.0,0.0,5864273000.0,41897056000.0,1128239000.0,5157414000.0,3775147000.0,61851055000.0,,,84623872000.0,187734000.0,18395000.0,134165881000.0,1031456000.0,11592000.0,0.0,35023901000.0,256742528000.0,,20109001000.0,3503990000.0,2208900000.0,25821891000.0,,,,28457785000.0,28457785000.0,,22550827000.0,,20389987000.0,,-4169528000.0,-645422000.0,66583649000.0,4021534000.0,,353169602000.0,0.0,31212400000.0,,562995000.0,3465931000.0,353169602000.0,1679697000.0,282564419000.0,70605183000.0,,,,,,,,,
3231.0,2018.0,4.0,,43529023000.0,67755000.0,0.0,541001000.0,117752954000.0,58988000.0,2845000.0,1111267000.0,89614023000.0,22749288000.0,275427144000.0,,0.0,0.0,6514305000.0,42868387000.0,1077197000.0,5776897000.0,3780309000.0,63675431000.0,,,61012704000.0,74336000.0,28661000.0,138360565000.0,1078008000.0,36290000.0,0.0,37686612000.0,239878889000.0,,20234382000.0,3209855000.0,2247867000.0,25692104000.0,,,,28421220000.0,28421220000.0,,22863619000.0,,22321828000.0,,-4128234000.0,-533236000.0,68945197000.0,4586385000.0,,339102575000.0,0.0,24362000000.0,,438871000.0,3219465000.0,339102575000.0,1601713000.0,265570993000.0,73531582000.0,,,,,,,,,
3231.0,2019.0,1.0,,49442069000.0,186388000.0,,,97955967000.0,198348000.0,2098000.0,1206483000.0,94465722000.0,21780187000.0,265237262000.0,,,,,42158969000.0,1020217000.0,5814869000.0,1207750000.0,65259367000.0,,,72467228000.0,3400000.0,,109659246000.0,996619000.0,19802000.0,,36864173000.0,222549166000.0,,20146238000.0,3198045000.0,2033349000.0,26525991000.0,,,,28421220000.0,28421220000.0,,24733389000.0,,23182875000.0,,-3437611000.0,-533236000.0,72366637000.0,9054835000.0,,330496629000.0,0.0,24362000000.0,,484617000.0,3464213000.0,330496629000.0,1929089000.0,249075157000.0,81421472000.0,6766315000.0,4342417000.0,609609000.0,1148359000.0,0.0,,,,
3231.0,2019.0,2.0,,49489068000.0,225299000.0,,,107848071000.0,440440000.0,3035000.0,1216656000.0,80197647000.0,22678972000.0,262099188000.0,,,,,42108324000.0,1043813000.0,5880528000.0,1389932000.0,65295099000.0,,,63991093000.0,133303000.0,,115927064000.0,1076810000.0,38594000.0,,44071002000.0,227817567000.0,,14883079000.0,3199023000.0,2034501000.0,21152110000.0,,,,28421220000.0,28421220000.0,,24495467000.0,,20165074000.0,,-2852078000.0,-217801000.0,70011882000.0,8412728000.0,,327394287000.0,0.0,9952000000.0,0.0,430849000.0,3816097000.0,327394287000.0,1962170000.0,248969677000.0,78424610000.0,6404685000.0,4220871000.0,617531000.0,1035507000.0,0.0,,,,
