co_id,year,quarter,營業活動之現金流量－間接法,繼續營業單位稅前淨利（淨損）,本期稅前淨利（淨損）,折舊費用,攤銷費用,呆帳費用提列（轉列收入）數,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,利息費用,利息收入,股利收入,股份基礎給付酬勞成本,採用權益法認列之關聯企業及合資損失（利益）之份額,處分及報廢不動產、廠房及設備損失（利益）,不動產、廠房及設備轉列費用數,處分無形資產損失（利益）,處分投資損失（利益）,金融資產減損損失,非金融資產減損損失,其他項目,收益費損項目合計,應收票據（增加）減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,其他應收款－關係人（增加）減少,存貨（增加）減少,其他流動資產（增加）減少,與營業活動相關之資產之淨變動合計,應付票據增加（減少）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,其他應付款－關係人增加（減少）,負債準備增加（減少）,其他流動負債增加（減少）,其他營業負債增加（減少）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產及負債之淨變動合計,調整項目合計,營運產生之現金流入（流出）,收取之利息,收取之股利,支付之利息,退還（支付）之所得稅,營業活動之淨現金流入（流出）,投資活動之現金流量,取得備供出售金融資產,處分備供出售金融資產,取得以成本衡量之金融資產,以成本衡量之金融資產減資退回股款,取得採用權益法之投資,處分採用權益法之投資,取得不動產、廠房及設備,處分不動產、廠房及設備,存出保證金減少,其他應收款－關係人增加,取得無形資產,處分無形資產,因合併產生之現金流入,其他金融資產增加,其他非流動資產增加,投資活動之淨現金流入（流出）,籌資活動之現金流量,短期借款增加,短期借款減少,舉借長期借款,償還長期借款,存入保證金增加,存入保證金減少,員工購買庫藏股,非控制權益變動,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額,資產負債表帳列之現金及約當現金,其他金融資產減少,庫藏股票買回成本,存出保證金增加,其他應收款－關係人減少,發放現金股利,預期信用減損損失（利益）數／呆帳費用提列（轉列收入）數,合約負債增加（減少）,取得透過其他綜合損益按公允價值衡量之金融資產,處分透過其他綜合損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,取得指定為透過損益按公允價值衡量之金融資產,處分指定為透過損益按公允價值衡量之金融資產,預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,取得透過損益按公允價值衡量之金融資產,處分透過損益按公允價值衡量之金融資產,租賃本金償還,其他非流動資產減少,採用權益法之被投資公司減資退回股款,預付投資款增加,對子公司之收購（扣除所取得之現金）,預收款項增加－處分資產,發行公司債,其他籌資活動,分類至待出售（非流動）資產（或處分群組）之現金及約當現金,取得按攤銷後成本衡量之金融資產,處分子公司,處分子公司股權（未喪失控制力）
3231,2017,1,0.0,776893000.0,776893000.0,1930401000.0,84968000.0,701000.0,270667000.0,509035000.0,-278019000.0,0.0,79230000.0,-61702000.0,2181000.0,10023000.0,0.0,-14712000.0,43000000.0,-3223000.0,11624000.0,2584174000.0,2139000.0,23806813000.0,-25877000.0,-1508000.0,-11755318000.0,-738620000.0,11287629000.0,-3455000.0,-16900377000.0,-1139400000.0,-60677000.0,-109181000.0,615881000.0,-19739000.0,-17616948000.0,-6329319000.0,-3745145000.0,-2968252000.0,265195000.0,0.0,-517619000.0,-285885000.0,-3506561000.0,0.0,-3100135000.0,3327530000.0,-11433000.0,15000.0,-88897000.0,18000.0,-2161683000.0,9470000.0,119000.0,0.0,-30438000.0,0.0,0.0,-2480695000.0,-477476000.0,-5013605000.0,0.0,120568170000.0,-114505921000.0,2982039000.0,-4688472000.0,0.0,-12005000.0,136996000.0,1232000.0,4482039000.0,-1136057000.0,-5174184000.0,57561050000.0,52386866000.0,52386866000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2017,2,0.0,1265413000.0,1265413000.0,1899985000.0,80026000.0,-236000.0,-262521000.0,563820000.0,-224609000.0,-17143000.0,77733000.0,-79188000.0,26517000.0,-5089000.0,0.0,-5840000.0,25000000.0,-10951000.0,23748000.0,2091252000.0,-63767000.0,-18913650000.0,15725000.0,7196000.0,2802546000.0,-365599000.0,-16517549000.0,-66110000.0,10008556000.0,75135000.0,-87864000.0,-123621000.0,637280000.0,-1696000.0,10441680000.0,-6075869000.0,-3984617000.0,-2719204000.0,228682000.0,46026000.0,-572449000.0,-873421000.0,-3890366000.0,0.0,-2399175000.0,1906867000.0,-154120000.0,5474000.0,0.0,0.0,-1406306000.0,679000.0,52327000.0,0.0,-34592000.0,0.0,0.0,2480695000.0,-606511000.0,-138835000.0,0.0,131474509000.0,-129415695000.0,1323533000.0,-1355556000.0,0.0,-225160000.0,68681000.0,-1701000.0,1868611000.0,-104263000.0,-2264853000.0,0.0,-2264853000.0,-2264853000.0,15827000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2017,3,0.0,1423834000.0,1423834000.0,1905359000.0,75820000.0,-32352000.0,112639000.0,815574000.0,-291693000.0,-118667000.0,279278000.0,-102872000.0,1056000.0,599000.0,0.0,-35654000.0,57182000.0,148000.0,14880000.0,2681297000.0,-499547000.0,-18914683000.0,-199465000.0,18828000.0,-23179558000.0,-3942570000.0,-46716995000.0,-2022000.0,29925800000.0,155737000.0,-158303000.0,100281000.0,4212676000.0,61559000.0,34295728000.0,-12421267000.0,-9739970000.0,-8316136000.0,335600000.0,458092000.0,-784628000.0,-1075032000.0,-9382104000.0,0.0,-2440949000.0,2088827000.0,-23536000.0,8060000.0,-121500000.0,0.0,-2046437000.0,11051000.0,-52446000.0,0.0,-16986000.0,0.0,0.0,-223411000.0,-120741000.0,-3013261000.0,0.0,166549328000.0,-140752333000.0,3091738000.0,-4437629000.0,0.0,-8854000.0,372371000.0,33348000.0,21807149000.0,-215369000.0,9196415000.0,0.0,9196415000.0,9196415000.0,-15827000.0,0.0,-62533000.0,3167000.0,-3040820000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2017,4,0.0,2692271000.0,2692271000.0,1856835000.0,74395000.0,-10491000.0,283774000.0,867612000.0,-284404000.0,-1244000.0,6808000.0,-64092000.0,50914000.0,629000.0,0.0,-295747000.0,-125182000.0,68902000.0,20382000.0,2449091000.0,327684000.0,6680841000.0,104417000.0,-169300000.0,1309224000.0,-361096000.0,7891770000.0,3650000.0,-8437267000.0,37245000.0,122337000.0,-67437000.0,-126758000.0,1271000.0,-8466959000.0,-575189000.0,1873902000.0,4566173000.0,346063000.0,1243000.0,-836213000.0,-437221000.0,3640045000.0,0.0,-6297725000.0,7018244000.0,-9023000.0,22009000.0,-150030000.0,0.0,-1797284000.0,97494000.0,17102000.0,0.0,-44650000.0,0.0,0.0,198161000.0,-1132886000.0,-2017363000.0,0.0,171844861000.0,-165864814000.0,3475179000.0,-4532437000.0,0.0,-17763000.0,195910000.0,161743000.0,5262679000.0,-217672000.0,6667689000.0,0.0,6667689000.0,6667689000.0,0.0,0.0,62533000.0,-1308000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2018,1,0.0,1818091000.0,1818091000.0,1874913000.0,74427000.0,0.0,-51603000.0,970825000.0,-274657000.0,-5277000.0,84808000.0,-42551000.0,3068000.0,4728000.0,0.0,-78990000.0,0.0,0.0,-81909000.0,2487004000.0,0.0,5458419000.0,89326000.0,126098000.0,-3944394000.0,-1960543000.0,-231094000.0,0.0,-21940811000.0,-129514000.0,-5054000.0,0.0,-65873000.0,-9729000.0,-22020467000.0,-22251561000.0,-19764557000.0,-17946466000.0,323284000.0,5277000.0,-984045000.0,-220545000.0,-18822495000.0,0.0,0.0,0.0,0.0,0.0,0.0,295518000.0,-1402222000.0,17922000.0,-43765000.0,0.0,-51398000.0,0.0,0.0,0.0,-1199574000.0,-3754900000.0,0.0,151170371000.0,-144197390000.0,1626852000.0,-1458440000.0,0.0,198557000.0,263525000.0,944771000.0,8548246000.0,-2298887000.0,-16328036000.0,65986117000.0,49658081000.0,49658081000.0,0.0,0.0,0.0,0.0,0.0,9222000.0,130514000.0,-289731000.0,8155000.0,5142000.0,-4099706000.0,3004759000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2018,2,0.0,1856289000.0,1856289000.0,1787590000.0,55424000.0,0.0,-711513000.0,1091189000.0,-242872000.0,-9361000.0,6809000.0,-52836000.0,1671000.0,14111000.0,0.0,-20377000.0,0.0,0.0,14504000.0,1926525000.0,0.0,-8666641000.0,-99087000.0,-119921000.0,9795220000.0,77256000.0,986827000.0,0.0,-6472777000.0,15339000.0,-2678000.0,0.0,1853946000.0,-7486000.0,-4847993000.0,-3861166000.0,-1934641000.0,-78352000.0,290122000.0,50198000.0,-1138886000.0,-487578000.0,-1364496000.0,0.0,0.0,0.0,0.0,0.0,-7214000.0,31369000.0,-2548404000.0,7849000.0,1738000.0,0.0,-21326000.0,0.0,0.0,0.0,-1874909000.0,-3245613000.0,0.0,121666667000.0,-145482717000.0,12766400000.0,-2061240000.0,0.0,-21654000.0,398374000.0,6511000.0,-12727659000.0,4138528000.0,-13199240000.0,0.0,-13199240000.0,-13199240000.0,0.0,0.0,0.0,0.0,0.0,-7814000.0,-234337000.0,-16947000.0,0.0,24128000.0,-5715095000.0,6873198000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2018,3,0.0,2459842000.0,2459842000.0,2019833000.0,104506000.0,0.0,824773000.0,1199742000.0,-272743000.0,-61865000.0,6808000.0,-121105000.0,7329000.0,35915000.0,0.0,-7087000.0,0.0,0.0,17243000.0,3757290000.0,0.0,-18361406000.0,25472000.0,122431000.0,-22471168000.0,-1633965000.0,-42318636000.0,0.0,28658768000.0,588712000.0,-21293000.0,0.0,3783255000.0,-6937000.0,32845439000.0,-9473197000.0,-5715907000.0,-3256065000.0,210709000.0,398228000.0,-1166310000.0,-436368000.0,-4249806000.0,0.0,0.0,0.0,0.0,0.0,-45000000.0,1452000.0,-2452524000.0,4236000.0,44004000.0,0.0,-119772000.0,0.0,0.0,0.0,-1377214000.0,-3780774000.0,0.0,145369564000.0,-128249130000.0,7058662000.0,-5568191000.0,0.0,193554000.0,52769000.0,-216875000.0,15432154000.0,-188429000.0,7213145000.0,0.0,7213145000.0,7213145000.0,0.0,0.0,0.0,0.0,-3208199000.0,-1408000.0,-157066000.0,-210848000.0,5109000.0,50566000.0,9814801000.0,-9877957000.0,5349000.0,-14882671000.0,15265044000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2018,4,0.0,3524616000.0,3524616000.0,2256009000.0,76759000.0,0.0,36531000.0,1485787000.0,-281314000.0,-73255000.0,7473000.0,-192734000.0,1751000.0,-6451000.0,0.0,84000.0,0.0,0.0,25819000.0,3386521000.0,0.0,-1202813000.0,-41885000.0,-104769000.0,20998135000.0,-3547982000.0,16100686000.0,0.0,3724448000.0,-242406000.0,101739000.0,0.0,3467758000.0,-68974000.0,6904581000.0,23005267000.0,26391788000.0,29916404000.0,441255000.0,73259000.0,-1551065000.0,-286969000.0,28592884000.0,0.0,0.0,0.0,0.0,0.0,-148050000.0,889000.0,-2162721000.0,3472000.0,-1977000.0,0.0,-137556000.0,0.0,0.0,0.0,-763579000.0,-3444969000.0,0.0,195797632000.0,-219306461000.0,138558000.0,-1452044000.0,327888000.0,-370457000.0,46779000.0,610000.0,-24817495000.0,-473383000.0,-142963000.0,0.0,-142963000.0,-142963000.0,0.0,0.0,-8899000.0,-3886000.0,0.0,0.0,-77984000.0,-208372000.0,8080000.0,11628000.0,0.0,0.0,50062000.0,-2761541000.0,2727543000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2019,1,0.0,2010220000.0,2010220000.0,2416961000.0,74855000.0,0.0,-93888000.0,1293574000.0,-549190000.0,-60598000.0,163962000.0,-47425000.0,14002000.0,0.0,0.0,-181874000.0,0.0,0.0,3939000.0,3021653000.0,0.0,20499434000.0,-263779000.0,1426000.0,-4517506000.0,1285413000.0,17004988000.0,0.0,-28988171000.0,-161013000.0,-31528000.0,0.0,-1100607000.0,-168847000.0,-30122790000.0,-13117802000.0,-10096149000.0,-8085929000.0,482504000.0,60598000.0,-1333519000.0,-444106000.0,-9320452000.0,0.0,0.0,0.0,0.0,0.0,-209859000.0,50308000.0,-979587000.0,12353000.0,0.0,0.0,-18663000.0,0.0,0.0,0.0,-341805000.0,-1700625000.0,0.0,188862203000.0,-177562986000.0,1387275000.0,-1541416000.0,0.0,-46674000.0,0.0,5697749000.0,16559843000.0,374280000.0,5913046000.0,43529023000.0,49442069000.0,49442069000.0,0.0,0.0,-2042000.0,0.0,0.0,0.0,327376000.0,-86167000.0,6264000.0,7841000.0,0.0,0.0,-12665000.0,-5857589000.0,5718321000.0,-236308000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3231,2019,2,0.0,2721991000.0,2721991000.0,2480815000.0,72445000.0,0.0,145075000.0,1285717000.0,-507636000.0,-549000.0,117617000.0,-81881000.0,23480000.0,2946000.0,0.0,-3724000.0,0.0,0.0,27052000.0,3593156000.0,0.0,-9537993000.0,-547433000.0,-1814000.0,14858220000.0,-1531315000.0,3239665000.0,0.0,5605466000.0,134955000.0,35876000.0,0.0,3954728000.0,-9272000.0,9754834000.0,12994499000.0,16587655000.0,19309646000.0,600224000.0,51049000.0,-1444118000.0,-1983870000.0,16532931000.0,0.0,0.0,0.0,0.0,0.0,-14048000.0,197804000.0,-1587748000.0,52673000.0,475000.0,0.0,-94120000.0,0.0,0.0,0.0,341805000.0,-1978906000.0,0.0,132163143000.0,-141209439000.0,7161000.0,-5422806000.0,0.0,7044000.0,282739000.0,-448662000.0,-14833489000.0,326463000.0,46999000.0,0.0,46999000.0,46999000.0,0.0,0.0,2042000.0,0.0,0.0,0.0,33081000.0,-163494000.0,8000.0,0.0,0.0,0.0,31799000.0,-14451924000.0,14456764000.0,-212669000.0,-719143000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
